[ 2025-11-05 02:59:48,473 ] 18 root - INFO - Initiate the data ingestion
[ 2025-11-05 02:59:52,257 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-11-05 02:59:52,257 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-11-05 02:59:52,258 ] 75 root - INFO - Exporting train and test file path.
[ 2025-11-05 02:59:52,306 ] 84 root - INFO - Exported train and test file path.
[ 2025-11-05 02:59:52,306 ] 20 root - INFO - Data Initiation Completed
[ 2025-11-05 02:59:52,313 ] 24 root - INFO - Initiate the data Validation
[ 2025-11-05 02:59:52,365 ] 32 root - INFO - Required number of columns:2
[ 2025-11-05 02:59:52,365 ] 33 root - INFO - Data frame has columns:31
[ 2025-11-05 02:59:52,365 ] 32 root - INFO - Required number of columns:2
[ 2025-11-05 02:59:52,365 ] 33 root - INFO - Data frame has columns:31
[ 2025-11-05 02:59:52,491 ] 26 root - INFO - data Validation Completed
[ 2025-11-05 02:59:52,491 ] 29 root - INFO - data Transformation started
[ 2025-11-05 02:59:52,491 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-11-05 02:59:52,491 ] 65 root - INFO - Starting data transformation
[ 2025-11-05 02:59:52,507 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-11-05 02:59:52,509 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-11-05 02:59:52,517 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-05 02:59:52,517 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-05 02:59:52,517 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-05 02:59:52,523 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-05 02:59:52,523 ] 33 root - INFO - data Transformation completed
